Dia: 1.8 m | Vel: 17.5 km/s | theta: 31.9 deg | Strength: 3.0e+05 Pa
Power (W)    Altitude (m)
2.8607e+08   8.8677e+04
2.8679e+08   8.8649e+04
2.8751e+08   8.8622e+04
2.8823e+08   8.8594e+04
2.8896e+08   8.8567e+04
2.8968e+08   8.8539e+04
2.9041e+08   8.8511e+04
2.9114e+08   8.8484e+04
2.9187e+08   8.8456e+04
2.9261e+08   8.8428e+04
2.9335e+08   8.8401e+04
2.9408e+08   8.8373e+04
2.9482e+08   8.8346e+04
2.9557e+08   8.8318e+04
2.9631e+08   8.8290e+04
2.9706e+08   8.8263e+04
2.9780e+08   8.8235e+04
2.9855e+08   8.8207e+04
2.9931e+08   8.8180e+04
3.0006e+08   8.8152e+04
3.0082e+08   8.8125e+04
3.0157e+08   8.8097e+04
3.0233e+08   8.8069e+04
3.0310e+08   8.8042e+04
3.0386e+08   8.8014e+04
3.0463e+08   8.7987e+04
3.0540e+08   8.7959e+04
3.0617e+08   8.7931e+04
3.0694e+08   8.7904e+04
3.0771e+08   8.7876e+04
3.0849e+08   8.7848e+04
3.0927e+08   8.7821e+04
3.1005e+08   8.7793e+04
3.1084e+08   8.7766e+04
3.1162e+08   8.7738e+04
3.1241e+08   8.7710e+04
3.1320e+08   8.7683e+04
3.1399e+08   8.7655e+04
3.1478e+08   8.7628e+04
3.1558e+08   8.7600e+04
3.1638e+08   8.7572e+04
3.1718e+08   8.7545e+04
3.1798e+08   8.7517e+04
3.1879e+08   8.7489e+04
3.1959e+08   8.7462e+04
3.2040e+08   8.7434e+04
3.2121e+08   8.7407e+04
3.2203e+08   8.7379e+04
3.2284e+08   8.7351e+04
3.2366e+08   8.7324e+04
3.2448e+08   8.7296e+04
3.2530e+08   8.7269e+04
3.2613e+08   8.7241e+04
3.2696e+08   8.7213e+04
3.2779e+08   8.7186e+04
3.2862e+08   8.7158e+04
3.2945e+08   8.7130e+04
3.3029e+08   8.7103e+04
3.3112e+08   8.7075e+04
3.3197e+08   8.7048e+04
3.3281e+08   8.7020e+04
3.3365e+08   8.6992e+04
3.3450e+08   8.6965e+04
3.3535e+08   8.6937e+04
3.3620e+08   8.6910e+04
3.3706e+08   8.6882e+04
3.3791e+08   8.6854e+04
3.3877e+08   8.6827e+04
3.3964e+08   8.6799e+04
3.4050e+08   8.6772e+04
3.4137e+08   8.6744e+04
3.4223e+08   8.6716e+04
3.4310e+08   8.6689e+04
3.4398e+08   8.6661e+04
3.4485e+08   8.6634e+04
3.4573e+08   8.6606e+04
3.4661e+08   8.6578e+04
3.4750e+08   8.6551e+04
3.4838e+08   8.6523e+04
3.4927e+08   8.6496e+04
3.5016e+08   8.6468e+04
3.5105e+08   8.6440e+04
3.5195e+08   8.6413e+04
3.5284e+08   8.6385e+04
3.5374e+08   8.6358e+04
3.5465e+08   8.6330e+04
3.5555e+08   8.6302e+04
3.5646e+08   8.6275e+04
3.5737e+08   8.6247e+04
3.5828e+08   8.6220e+04
3.5920e+08   8.6192e+04
3.6011e+08   8.6164e+04
3.6103e+08   8.6137e+04
3.6196e+08   8.6109e+04
3.6288e+08   8.6082e+04
3.6381e+08   8.6054e+04
3.6474e+08   8.6026e+04
3.6567e+08   8.5999e+04
3.6661e+08   8.5971e+04
3.6754e+08   8.5944e+04
3.6848e+08   8.5916e+04
3.6943e+08   8.5888e+04
3.7037e+08   8.5861e+04
3.7132e+08   8.5833e+04
3.7227e+08   8.5806e+04
3.7322e+08   8.5778e+04
3.7418e+08   8.5750e+04
3.7514e+08   8.5723e+04
3.7610e+08   8.5695e+04
3.7706e+08   8.5668e+04
3.7803e+08   8.5640e+04
3.7900e+08   8.5612e+04
3.7997e+08   8.5585e+04
3.8095e+08   8.5557e+04
3.8192e+08   8.5530e+04
3.8290e+08   8.5502e+04
3.8389e+08   8.5474e+04
3.8487e+08   8.5447e+04
3.8586e+08   8.5419e+04
3.8685e+08   8.5392e+04
3.8784e+08   8.5364e+04
3.8884e+08   8.5336e+04
3.8984e+08   8.5309e+04
3.9084e+08   8.5281e+04
3.9184e+08   8.5254e+04
3.9285e+08   8.5226e+04
3.9386e+08   8.5199e+04
3.9487e+08   8.5171e+04
3.9589e+08   8.5143e+04
3.9691e+08   8.5116e+04
3.9793e+08   8.5088e+04
3.9895e+08   8.5061e+04
3.9998e+08   8.5033e+04
4.0101e+08   8.5005e+04
4.0204e+08   8.4978e+04
4.0308e+08   8.4950e+04
4.0412e+08   8.4923e+04
4.0516e+08   8.4895e+04
4.0620e+08   8.4867e+04
4.0725e+08   8.4840e+04
4.0830e+08   8.4812e+04
4.0935e+08   8.4785e+04
4.1041e+08   8.4757e+04
