Bolide Luminosity and Fragmentation Simulation — v7
Dia: 1.3 m | Vel: 15.0 km/s | theta: 60.0 deg | Strength: 5.0e+05 → 1.0e+06 Pa

Initial area     = 5.3093e+00 m²
Initial mass     = 3.9112e+03 kg
Initial strength = 5.0000e+05 Pa

Initial altitude = 6.4681e+06 meters
Initial position = 0.0000e+00 meters
Initial velocity = 1.5000e+04 m/s
Initial time     = 0.0000e+00 s

Initial angle of entry = 60.000 deg
Initial angle of entry = 1.047 rad

Initial x-component velocity = 7.5000e+03 m/s
Initial z-component velocity = -1.2990e+04 m/s
Initial alpha angle          = 0.0000e+00 deg
Initial delta angle          = 3.0000e+01 deg
Initial gamma angle          = 3.0000e+01 deg
Initial flight path angle    = 6.0000e+01 deg
Initial downrange distance   = 0.0000e+00 meters
Initial Earth surface x-comp = 6.3781e+06 meters
Initial Earth surface z-comp = 6.3781e+06 meters

Setting total radiated energy to 0.0000e+00 J

T = 4.0731e+02  p = 1.8728e+00  rho = 1.6026e-05  a = 3.7447e+02  tau = 4.9977e-02  frag_stage = 0

time = 1.0200e-01  lum = 2.4559e+08  alt = 6.4668e+06  mass = 3.9070e+03  dia = 1.2995e+00  area = 5.3055e+00
KE = 4.3956e+11  v = 1.5000e+04  acc = 1.6843e+00  E_rad_ttl = 2.3653e+07  E_dep = 4.7328e+08  Fdrag = 3.6000e+03  theta_deg = 60.000
q_h = 4.0711e+07  q = 1.8094e+03  M = 4.0062e+01  T_stag = 6.5762e+04  p_stag = 1.8112e+03  T_surf = 5.3145e+03
T = 4.0719e+02  p = 1.8789e+00  rho = 1.6083e-05  a = 3.7442e+02  tau = 4.9977e-02  frag_stage = 0

time = 1.0500e-01  lum = 2.4646e+08  alt = 6.4668e+06  mass = 3.9069e+03  dia = 1.2995e+00  area = 5.3054e+00
KE = 4.3955e+11  v = 1.5000e+04  acc = 1.6820e+00  E_rad_ttl = 2.4392e+07  E_dep = 4.8808e+08  Fdrag = 3.6127e+03  theta_deg = 60.000
q_h = 4.0856e+07  q = 1.8158e+03  M = 4.0068e+01  T_stag = 6.5762e+04  p_stag = 1.8177e+03  T_surf = 5.3192e+03
