Dia: 1.2 m | Vel: 21.2 km/s | theta: 25.0 deg | Strength: 2.0e+05 Pa
Power (W)    Altitude (m)
1.8281e+09   7.9582e+04
1.8327e+09   7.9555e+04
1.8373e+09   7.9529e+04
1.8419e+09   7.9502e+04
1.8466e+09   7.9475e+04
1.8512e+09   7.9449e+04
1.8559e+09   7.9422e+04
1.8605e+09   7.9395e+04
1.8652e+09   7.9368e+04
1.8699e+09   7.9342e+04
1.8746e+09   7.9315e+04
1.8793e+09   7.9288e+04
1.8840e+09   7.9262e+04
1.8888e+09   7.9235e+04
1.8935e+09   7.9208e+04
1.8983e+09   7.9182e+04
1.9030e+09   7.9155e+04
1.9078e+09   7.9128e+04
1.9126e+09   7.9102e+04
1.9174e+09   7.9075e+04
1.9223e+09   7.9048e+04
1.9271e+09   7.9022e+04
1.9320e+09   7.8995e+04
1.9368e+09   7.8968e+04
1.9417e+09   7.8942e+04
1.9466e+09   7.8915e+04
1.9515e+09   7.8888e+04
1.9564e+09   7.8862e+04
1.9613e+09   7.8835e+04
1.9663e+09   7.8808e+04
1.9712e+09   7.8782e+04
1.9762e+09   7.8755e+04
1.9812e+09   7.8728e+04
1.9862e+09   7.8702e+04
1.9912e+09   7.8675e+04
1.9962e+09   7.8648e+04
2.0012e+09   7.8622e+04
2.0063e+09   7.8595e+04
2.0113e+09   7.8568e+04
2.0164e+09   7.8542e+04
2.0215e+09   7.8515e+04
2.0266e+09   7.8488e+04
2.0317e+09   7.8462e+04
2.0368e+09   7.8435e+04
2.0419e+09   7.8408e+04
2.0471e+09   7.8382e+04
2.0522e+09   7.8355e+04
2.0574e+09   7.8328e+04
2.0626e+09   7.8302e+04
2.0678e+09   7.8275e+04
2.0730e+09   7.8248e+04
2.0783e+09   7.8222e+04
2.0835e+09   7.8195e+04
2.0888e+09   7.8168e+04
2.0940e+09   7.8142e+04
2.0993e+09   7.8115e+04
2.1046e+09   7.8088e+04
2.1099e+09   7.8062e+04
2.1153e+09   7.8035e+04
2.1206e+09   7.8008e+04
2.1260e+09   7.7982e+04
2.1313e+09   7.7955e+04
2.1367e+09   7.7928e+04
2.1421e+09   7.7902e+04
2.1475e+09   7.7875e+04
2.1530e+09   7.7849e+04
2.1584e+09   7.7822e+04
2.1639e+09   7.7795e+04
2.1693e+09   7.7769e+04
2.1748e+09   7.7742e+04
2.1803e+09   7.7715e+04
2.1858e+09   7.7689e+04
2.1913e+09   7.7662e+04
2.1969e+09   7.7635e+04
2.2024e+09   7.7609e+04
2.2080e+09   7.7582e+04
2.2136e+09   7.7555e+04
2.2192e+09   7.7529e+04
2.2248e+09   7.7502e+04
2.2304e+09   7.7475e+04
2.2361e+09   7.7449e+04
2.2417e+09   7.7422e+04
2.2474e+09   7.7396e+04
2.2531e+09   7.7369e+04
2.2588e+09   7.7342e+04
