time_seconds,energy
1773752200.864,2.8848379407693785e-15
1773752200.866,2.9848259450280124e-15
1773752200.869,3.284789957803914e-15
1773752200.87,3.6847419748384496e-15
1773752200.872,3.984705564097878e-15
1773752200.874,3.284789957803914e-15
1773752200.877,3.584753970579816e-15
1773752200.878,3.484765966321182e-15
1773752200.88,3.584753970579816e-15
1773752200.882,3.384777962062548e-15
1773752200.884,3.384777962062548e-15
1773752200.886,4.0846935683565115e-15
1773752200.888,3.6847419748384496e-15
1773752200.89,3.0848139492866463e-15
1773752200.892,3.284789957803914e-15
1773752200.894,4.0846935683565115e-15
1773752200.896,3.18480195354528e-15
1773752200.898,3.18480195354528e-15
1773752200.9,3.384777962062548e-15
1773752200.902,3.484765966321182e-15
1773752200.904,2.9848259450280124e-15
1773752200.906,3.0848139492866463e-15
1773752200.908,3.284789957803914e-15
1773752200.91,3.484765966321182e-15
1773752200.912,2.9848259450280124e-15
1773752200.914,3.7847299790970835e-15
1773752200.916,2.9848259450280124e-15
1773752200.918,3.384777962062548e-15
1773752200.92,4.0846935683565115e-15
1773752200.922,3.7847299790970835e-15
1773752200.924,3.484765966321182e-15
1773752200.926,3.884717559839244e-15
1773752200.928,3.984705564097878e-15
1773752200.93,3.984705564097878e-15
1773752200.932,4.0846935683565115e-15
1773752200.934,4.484645585391047e-15
1773752200.936,4.0846935683565115e-15
1773752200.938,3.984705564097878e-15
1773752200.94,4.384657581132413e-15
1773752200.942,4.9845856066842165e-15
1773752200.944,4.9845856066842165e-15
1773752200.946,5.284549619460118e-15
1773752200.948,4.9845856066842165e-15
1773752200.95,5.08457361094285e-15
1773752200.952,5.384537623718752e-15
1773752200.954,5.284549619460118e-15
1773752200.956,6.384417666305091e-15
1773752200.958,6.284429662046457e-15
1773752200.96,5.7844896407532875e-15
1773752200.962,6.6843816790809925e-15
1773752200.964,6.5843936748223586e-15
1773752200.966,6.484405670563725e-15
1773752200.968,6.784369683339626e-15
1773752200.97,7.084333696115528e-15
1773752200.972,6.6843816790809925e-15
1773752200.974,6.88435768759826e-15
1773752200.976,7.584273717408697e-15
1773752200.978,7.284309704632796e-15
1773752200.98,7.484285713150064e-15
1773752200.982,7.084333696115528e-15
1773752200.984,7.284309704632796e-15
1773752200.986,7.084333696115528e-15
1773752200.988,7.38429770889143e-15
1773752200.99,7.584273717408697e-15
1773752200.992,7.084333696115528e-15
1773752200.994,7.584273717408697e-15
1773752200.996,7.184321700374162e-15
1773752200.997,7.084333696115528e-15
1773752201.0,7.184321700374162e-15
1773752201.002,7.38429770889143e-15
1773752201.004,8.084213738701867e-15
1773752201.005,7.984225734443233e-15
1773752201.008,7.784249725925965e-15
1773752201.01,7.584273717408697e-15
1773752201.012,7.984225734443233e-15
1773752201.013,7.984225734443233e-15
1773752201.015,8.084213738701867e-15
1773752201.018,8.384177751477769e-15
1773752201.02,7.984225734443233e-15
1773752201.021,7.684261721667331e-15
1773752201.023,8.384177751477769e-15
1773752201.025,7.984225734443233e-15
1773752201.028,8.584153759995036e-15
