Bolide Luminosity and Fragmentation Simulation — v7
Dia: 1.1 m | Vel: 14.4 km/s | theta: 38.0 deg | Strength: 6.0e+06 → 1.0e+07 Pa

Initial area     = 3.8013e+00 m²
Initial mass     = 2.3695e+03 kg
Initial strength = 6.0000e+06 Pa

Initial altitude = 6.4581e+06 meters
Initial position = 0.0000e+00 meters
Initial velocity = 1.4400e+04 m/s
Initial time     = 0.0000e+00 s

Initial angle of entry = 38.000 deg
Initial angle of entry = 0.663 rad

Initial x-component velocity = 1.1347e+04 m/s
Initial z-component velocity = -8.8655e+03 m/s
Initial alpha angle          = 0.0000e+00 deg
Initial delta angle          = 5.2000e+01 deg
Initial gamma angle          = 5.2000e+01 deg
Initial flight path angle    = 3.8000e+01 deg
Initial downrange distance   = 0.0000e+00 meters
Initial Earth surface x-comp = 6.3781e+06 meters
Initial Earth surface z-comp = 6.3781e+06 meters

Setting total radiated energy to 0.0000e+00 J

T = 3.8003e+02  p = 4.1248e+00  rho = 3.7832e-05  a = 3.6171e+02  tau = 8.3967e-03  frag_stage = 0

time = 4.8000e-02  lum = 5.6952e+07  alt = 6.4577e+06  mass = 2.3665e+03  dia = 1.0995e+00  area = 3.7981e+00
KE = 2.4537e+11  v = 1.4400e+04  acc = 2.0997e+00  E_rad_ttl = 2.6480e+06  E_dep = 3.1890e+08  Fdrag = 5.6014e+03  theta_deg = 38.000
q_h = 8.4944e+07  q = 3.9326e+03  M = 3.9815e+01  T_stag = 6.0610e+04  p_stag = 3.9367e+03  T_surf = 6.3873e+03
T = 3.7995e+02  p = 4.1347e+00  rho = 3.7930e-05  a = 3.6167e+02  tau = 8.4113e-03  frag_stage = 0

time = 5.1000e-02  lum = 5.7196e+07  alt = 6.4577e+06  mass = 2.3663e+03  dia = 1.0995e+00  area = 3.7979e+00
KE = 2.4535e+11  v = 1.4400e+04  acc = 2.1023e+00  E_rad_ttl = 2.8196e+06  E_dep = 3.3927e+08  Fdrag = 5.6157e+03  theta_deg = 38.000
q_h = 8.5164e+07  q = 3.9428e+03  M = 3.9819e+01  T_stag = 6.0610e+04  p_stag = 3.9469e+03  T_surf = 6.3915e+03
T = 3.7987e+02  p = 4.1445e+00  rho = 3.8029e-05  a = 3.6164e+02  tau = 8.4259e-03  frag_stage = 0

time = 5.4000e-02  lum = 5.7441e+07  alt = 6.4577e+06  mass = 2.3661e+03  dia = 1.0995e+00  area = 3.7977e+00
KE = 2.4533e+11  v = 1.4400e+04  acc = 2.1050e+00  E_rad_ttl = 2.9920e+06  E_dep = 3.5968e+08  Fdrag = 5.6299e+03  theta_deg = 38.000
q_h = 8.5385e+07  q = 3.9530e+03  M = 3.9823e+01  T_stag = 6.0609e+04  p_stag = 3.9572e+03  T_surf = 6.3956e+03
T = 3.7979e+02  p = 4.1544e+00  rho = 3.8128e-05  a = 3.6160e+02  tau = 8.4405e-03  frag_stage = 0

time = 5.7000e-02  lum = 5.7687e+07  alt = 6.4576e+06  mass = 2.3659e+03  dia = 1.0994e+00  area = 3.7975e+00
KE = 2.4531e+11  v = 1.4400e+04  acc = 2.1076e+00  E_rad_ttl = 3.1650e+06  E_dep = 3.8015e+08  Fdrag = 5.6442e+03  theta_deg = 38.000
q_h = 8.5607e+07  q = 3.9633e+03  M = 3.9827e+01  T_stag = 6.0609e+04  p_stag = 3.9675e+03  T_surf = 6.3998e+03
T = 3.7971e+02  p = 4.1643e+00  rho = 3.8227e-05  a = 3.6156e+02  tau = 8.4552e-03  frag_stage = 0

time = 6.0000e-02  lum = 5.7934e+07  alt = 6.4576e+06  mass = 2.3657e+03  dia = 1.0994e+00  area = 3.7972e+00
KE = 2.4529e+11  v = 1.4400e+04  acc = 2.1103e+00  E_rad_ttl = 3.3388e+06  E_dep = 4.0067e+08  Fdrag = 5.6586e+03  theta_deg = 38.000
q_h = 8.5830e+07  q = 3.9736e+03  M = 3.9831e+01  T_stag = 6.0609e+04  p_stag = 3.9778e+03  T_surf = 6.4039e+03
T = 3.7963e+02  p = 4.1743e+00  rho = 3.8326e-05  a = 3.6152e+02  tau = 8.4699e-03  frag_stage = 0

time = 6.3000e-02  lum = 5.8183e+07  alt = 6.4576e+06  mass = 2.3655e+03  dia = 1.0994e+00  area = 3.7970e+00
